Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
95,2,04-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Philadelphia 76ers,114,109,Phoenix Suns,
96,2,04-11-2019 21:30,Chase Center,Golden State Warriors,Portland Trail Blazers,127,118,Golden State Warriors,
97,2,05-11-2019 18:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,122,120,Charlotte Hornets,
98,2,05-11-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,113,119,Boston Celtics,
99,2,05-11-2019 18:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,108,100,Atlanta Hawks,
100,2,05-11-2019 19:00,United Center,Chicago Bulls,Los Angeles Lakers,112,118,Los Angeles Lakers,
101,2,05-11-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Orlando Magic,102,94,Oklahoma City Thunder,
102,2,05-11-2019 20:00,Pepsi Center,Denver Nuggets,Miami Heat,109,89,Denver Nuggets,
103,2,06-11-2019 18:00,Little Caesars Arena,Detroit Pistons,New York Knicks,122,102,Detroit Pistons,
104,2,06-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,121,106,Indiana Pacers,
105,2,06-11-2019 18:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,93,113,Chicago Bulls,
106,2,06-11-2019 18:30,Scotiabank Arena,Toronto Raptors,Sacramento Kings,124,120,Toronto Raptors,
107,2,06-11-2019 18:30,Toyota Center,Houston Rockets,Golden State Warriors,129,112,Houston Rockets,
108,2,06-11-2019 19:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,137,121,Memphis Grizzlies,
109,2,06-11-2019 19:30,American Airlines Center,Dallas Mavericks,Orlando Magic,107,106,Dallas Mavericks,
110,2,06-11-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Philadelphia 76ers,106,104,Utah Jazz,
111,2,06-11-2019 21:00,Staples Center,LA Clippers,Milwaukee Bucks,124,129,Milwaukee Bucks,
112,3,07-11-2019 19:00,Spectrum Center,Charlotte Hornets,Boston Celtics,87,108,Boston Celtics,
113,3,07-11-2019 19:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,121,112,San Antonio Spurs,
114,3,07-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Miami Heat,108,124,Miami Heat,
115,3,07-11-2019 21:30,Staples Center,LA Clippers,Portland Trail Blazers,107,101,LA Clippers,
116,3,08-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,112,106,Indiana Pacers,
117,3,08-11-2019 18:00,Amway Center,Orlando Magic,Memphis Grizzlies,118,86,Orlando Magic,
118,3,08-11-2019 18:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,100,113,Cleveland Cavaliers,
119,3,08-11-2019 18:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,109,121,Sacramento Kings,
120,3,08-11-2019 19:00,Target Center,Minnesota Timberwolves,Golden State Warriors,125,119,Minnesota Timberwolves,
121,3,08-11-2019 19:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,104,122,Toronto Raptors,
122,3,08-11-2019 19:30,American Airlines Center,Dallas Mavericks,New York Knicks,102,106,New York Knicks,
123,3,08-11-2019 20:00,Pepsi Center,Denver Nuggets,Philadelphia 76ers,100,97,Denver Nuggets,
124,3,08-11-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Milwaukee Bucks,103,100,Utah Jazz,
125,3,08-11-2019 21:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,115,119,Brooklyn Nets,
126,3,08-11-2019 21:30,Staples Center,Los Angeles Lakers,Miami Heat,95,80,Los Angeles Lakers,
127,3,09-11-2019 16:00,AT&T Center,San Antonio Spurs,Boston Celtics,115,135,Boston Celtics,
128,3,09-11-2019 18:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,110,115,New Orleans Pelicans,
129,3,09-11-2019 19:00,United Center,Chicago Bulls,Houston Rockets,94,117,Houston Rockets,
130,3,09-11-2019 19:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,122,138,Dallas Mavericks,
